"id","name","alternative_name","country_name","is_active"
-1,"Unknown","\N","\N","Y"
1,"Private flight","\N",NULL,"Y"
2,"135 Airways","\N","United States","N"
3,"1Time Airline","\N","South Africa","Y"
4,"2 Sqn No 1 Elementary Flying Training School","\N","United Kingdom","N"
5,"213 Flight Unit","\N","Russia","N"
6,"223 Flight Unit State Airline","\N","Russia","N"
7,"224th Flight Unit","\N","Russia","N"
8,"247 Jet Ltd","\N","United Kingdom","N"
9,"3D Aviation","\N","United States","N"
10,"40-Mile Air","\N","United States","Y"
11,"4D Air","\N","Thailand","N"
12,"611897 Alberta Limited","\N","Canada","N"
13,"Ansett Australia","\N","Australia","Y"
14,"Abacus International","\N","Singapore","Y"
15,"Abelag Aviation","\N","Belgium","N"
16,"Army Air Corps","\N","United Kingdom","N"
17,"Aero Aviation Centre Ltd.","\N","Canada","N"
18,"Aero Servicios Ejecutivos Internacionales","\N","Mexico","N"
19,"Aero Biniza","\N","Mexico","N"
20,"Aero Albatros","\N","Spain","N"
21,"Aigle Azur","\N","France","Y"
22,"Aloha Airlines","\N","United States","Y"
23,"Alaska Island Air","\N","United States","N"
24,"American Airlines","\N","United States","Y"
25,"Aviation Management Corporation","\N","United States","N"
26,"Atlantis Airlines (USA)","\N","United States","N"
27,"Aerovista Airlines","\N","United Arab Emirates","N"
28,"Asiana Airlines","\N","Republic of Korea","Y"
29,"Askari Aviation","\N","Pakistan","Y"
30,"Australia Asia Airlines","\N","Australia","N"
31,"Astro Air International","\N","United States","N"
32,"Afriqiyah Airways","\N","Libya","Y"
33,"Afrinat International Airlines","\N","Gambia","N"
34,"Afric'air Express","\N","Ivory Coast","N"
35,"Allegiant Air","\N","United States","Y"
36,"Angus Aviation","\N","Canada","N"
37,"Artem-Avia","\N","Ukraine","N"
38,"African Business and Transportations","\N","Democratic Republic of the Congo","N"
39,"Aban Air","\N","Iran","n"
40,"Aerial Oy","\N","Finland","N"
41,"Abakan-Avia","\N","Russia","N"
42,"ABSA - Aerolinhas Brasileiras","\N","Brazil","Y"
43,"Abaet","\N","Brazil","N"
44,"Alberta Citylink","\N","Canada","N"
45,"APSA Colombia","\N","Colombia","N"
46,"Aerovias Bueno","\N","Colombia","N"
47,"Aerocenter","\N","AEROCENTER","N"
48,"Antrak Air","\N","Ghana","N"
49,"Airborne Express","\N","United States","N"
50,"ABX Air","\N","United States","N"
51,"ATA Brasil","\N","Brazil","N"
52,"Avcard Services","\N","United Kingdom","N"
53,"Academy Airlines","\N","United States","N"
54,"Aero Comondu","\N","Mexico","N"
55,"Astral Aviation","\N","Kenya","Y"
56,"Air Cess","\N","Liberia","N"
57,"Air Aurora","\N","United States","N"
58,"Air Cargo Transportation System","\N","Kenya","N"
59,"Air Charter Service","\N","United Kingdom","N"
60,"Aero Asia International","\N","Pakistan","N"
61,"Air Charters","\N","Canada","N"
62,"Air Togo","\N","Togo","N"
63,"Air Somalia","\N","Somali Republic","N"
64,"Atlas Cargo Lines","\N","Morocco","N"
65,"Airservices Australia","\N","Australia","N"
66,"Advance Leasing Company","\N","United States","N"
67,"Aztec Worldwide Airlines","\N","United States","N"
68,"Air Tindi","\N","Canadian Territories","Y"
69,"Antonov Airlines","\N","Ukraine","N"
70,"Air Atlantic Dominicana","\N","Dominican Republic","N"
71,"Advanced Air Co.","\N","Japan","N"
72,"Ada Air","\N","Albania","Y"
73,"Aerea Flying Training Organization","\N","Spain","N"
